"gene","pvalue","q_fdr","p_bonf"
"WBGene00001702",2.93e-86,4.95372704402516e-85,7.876426e-82
"WBGene00000739",3.77e-58,6.36990194846009e-57,1.0134514e-53
"WBGene00001068",7.35e-56,1.24109736180905e-54,1.975827e-51
"WBGene00022505",2.93e-55,4.94439799121155e-54,7.876426e-51
"WBGene00004173",1.07e-54,1.80450062735257e-53,2.876374e-50
"WBGene00000599",4.47e-54,7.53370156739812e-53,1.2016254e-49
"WBGene00000742",1.34e-52,2.25701002506266e-51,3.602188e-48
"WBGene00000717",8.65e-50,1.45603819661866e-48,2.325293e-45
"WBGene00000618",2.29e-49,3.85230162703379e-48,6.155978e-45
"WBGene00000741",2.34e-48,3.93395121951219e-47,6.290388e-44
"WBGene00009787",5.08e-48,8.535035e-47,1.3656056e-43
"WBGene00011522",1.08e-46,1.81340162398501e-45,2.903256e-42
"WBGene00000743",1.18e-45,1.98007240948814e-44,3.172076e-41
"WBGene00000720",1.54e-44,2.58255021834061e-43,4.139828e-40
"WBGene00010969",1.03e-43,1.72621321695761e-42,2.768846e-39
"WBGene00013853",3.82e-43,6.39808348909657e-42,1.0268924e-38
"WBGene00001699",3.3e-42,5.52369863013699e-41,8.87106e-38
"WBGene00017569",6.22e-42,1.04048562538892e-40,1.6720604e-37
"WBGene00011172",1.18e-41,1.97268407960199e-40,3.172076e-37
"WBGene00000740",5.35e-41,8.93839030453698e-40,1.438187e-36
"WBGene00000781",6.33e-40,1.05691341614907e-38,1.7016306e-35
"WBGene00020014",2.41e-38,4.02145375543141e-37,6.478562e-34
"WBGene00270321",5.19e-38,8.65493672456576e-37,1.3951758e-33
"WBGene00000251",1.97e-37,3.28317048977061e-36,5.295754e-33
"WBGene00007804",2.65e-37,4.41371127633209e-36,7.12373e-33
"WBGene00004000",1.65e-36,2.74645820433437e-35,4.43553e-32
"WBGene00000252",4.43e-36,7.36926113861386e-35,1.1908726e-31
"WBGene00006539",1.12e-35,1.86195670995671e-34,3.010784e-31
"WBGene00004002",1.75e-35,2.90750927070457e-34,4.70435e-31
"WBGene00000616",2.08e-35,3.4536479308215e-34,5.591456e-31
"WBGene00011891",2.1e-34,3.4847037037037e-33,5.64522e-30
"WBGene00010493",2.42e-34,4.01322887106724e-33,6.505444e-30
"WBGene00007543",1.56e-33,2.58544512946979e-32,4.193592e-29
"WBGene00001875",4.38e-33,7.25466173752311e-32,1.1774316e-28
"WBGene00018538",4.56e-33,7.54814778325123e-32,1.2258192e-28
"WBGene00007232",7.63e-33,1.26221329230769e-31,2.0510966e-28
"WBGene00009097",1.11e-32,1.83511808118081e-31,2.983902e-28
"WBGene00000719",1.04e-31,1.71833312845728e-30,2.795728e-27
"WBGene00008577",9.22e-31,1.52243267813268e-29,2.4785204e-26
"WBGene00017998",1.27e-30,2.09577286678944e-29,3.414014e-26
"WBGene00000256",1.3e-30,2.14396319018405e-29,3.49466e-26
"WBGene00016054",1.77e-30,2.9172985898222e-29,4.758114e-26
"WBGene00021641",3.4e-30,5.60041666666667e-29,9.13988e-26
"WBGene00000615",4.24e-30,6.97977219840784e-29,1.1397968e-25
"WBGene00001716",5.28e-30,8.68647246022032e-29,1.4193696e-25
"WBGene00004264",5.71e-30,9.38814801223242e-29,1.5349622e-25
"WBGene00021654",8.43e-30,1.38517885085575e-28,2.2661526e-25
"WBGene00003981",1.02e-29,1.67499328039096e-28,2.741964e-25
"WBGene00004119",1.17e-29,1.92014285714286e-28,3.145194e-25
"WBGene00005016",2.53e-29,4.14957046979866e-28,6.801146e-25
"WBGene00007233",4.89e-29,8.0154256097561e-28,1.3145298e-24
"WBGene00004133",5.4e-29,8.84599634369287e-28,1.451628e-24
"WBGene00004397",5.56e-29,9.10255298416565e-28,1.4946392e-24
"WBGene00020049",6.42e-29,1.0504104686549e-27,1.7258244e-24
"WBGene00012595",7.47e-29,1.22146313868613e-27,2.0080854e-24
"WBGene00000647",1.08e-28,1.76489726443769e-27,2.903256e-24
"WBGene00020873",1.75e-28,2.85804981773998e-27,4.70435e-24
"WBGene00008448",1.76e-28,2.87263630843959e-27,4.731232e-24
"WBGene00007231",3.44e-28,5.61129126213592e-27,9.247408e-24
"WBGene00010673",6.27e-28,1.02213547604609e-26,1.6855014e-23
"WBGene00006952",6.55e-28,1.06713393939394e-26,1.760771e-23
"WBGene00015646",1.01e-27,1.64450757116899e-26,2.715082e-23
"WBGene00000677",1.15e-27,1.87132566585956e-26,3.09143e-23
"WBGene00013489",1.61e-27,2.61827102238354e-26,4.328002e-23
"WBGene00000691",1.93e-27,3.13677509068924e-26,5.188226e-23
"WBGene00000594",2.24e-27,3.63840966767372e-26,6.021568e-23
"WBGene00008496",4.52e-27,7.3373574879227e-26,1.2150664e-22
"WBGene00001714",4.59e-27,7.44649245624623e-26,1.2338838e-22
"WBGene00013007",6.88e-27,1.11548950542823e-25,1.8494816e-22
"WBGene00020245",7.59e-27,1.22986365280289e-25,2.0403438e-22
"WBGene00019272",7.96e-27,1.28904048192771e-25,2.1398072e-22
"WBGene00010135",1.71e-26,2.76750270921132e-25,4.596822e-22
"WBGene00003057",3.05e-26,4.93321901323706e-25,8.19901e-22
"WBGene00019619",4.83e-26,7.80758027660854e-25,1.2984006e-21
"WBGene00012671",5.22e-26,8.43293509615385e-25,1.4032404e-21
"WBGene00022536",1.05e-25,1.69526126126126e-24,2.82261e-21
"WBGene00003999",2.07e-25,3.34008043217287e-24,5.564574e-21
"WBGene00008063",3.87e-25,6.24075224955009e-24,1.0403334e-20
"WBGene00022517",6.36e-25,1.02499712230216e-23,1.7096952e-20
"WBGene00005018",6.76e-25,1.08880958657879e-23,1.8172232e-20
"WBGene00015908",6.93e-25,1.11552251497006e-23,1.8629226e-20
"WBGene00005017",7.57e-25,1.21781412327947e-23,2.0349674e-20
"WBGene00014183",9.49e-25,1.52577858851675e-23,2.5511018e-20
"WBGene00016247",1.13e-24,1.81569994022714e-23,3.037666e-20
"WBGene00017814",1.43e-24,2.2963715651135e-23,3.844126e-20
"WBGene00004008",1.7e-24,2.7283223880597e-23,4.56994e-20
"WBGene00008376",1.94e-24,3.11163961813842e-23,5.215108e-20
"WBGene00001691",2.79e-24,4.47231842576029e-23,7.500078e-20
"WBGene00017937",3.63e-24,5.81535518474374e-23,9.758166e-20
"WBGene00000718",4.38e-24,7.01269565217391e-23,1.1774316e-19
"WBGene00004230",4.39e-24,7.02452261904762e-23,1.1801198e-19
"WBGene00000625",4.7e-24,7.51608566329566e-23,1.263454e-19
"WBGene00001713",5.02e-24,8.02304637336504e-23,1.3494764e-19
"WBGene00022816",5.77e-24,9.216229352347e-23,1.5510914e-19
"WBGene00001876",6.06e-24,9.67368883610451e-23,1.6290492e-19
"WBGene00020353",8.62e-24,1.37520973293769e-22,2.3172284e-19
"WBGene00077697",1.19e-23,1.89736536180308e-22,3.198958e-19
"WBGene00000749",1.56e-23,2.48582809721399e-22,4.193592e-19
"WBGene00044175",1.77e-23,2.81878791469194e-22,4.758114e-19
"WBGene00001067",1.8e-23,2.86486678507993e-22,4.83876e-19
"WBGene00012207",3.01e-23,4.78785917159763e-22,8.091482e-19
"WBGene00014116",4.94e-23,7.85316853932584e-22,1.3279708e-18
"WBGene00018786",6.08e-23,9.65972576832151e-22,1.6344256e-18
"WBGene00001914",6.89e-23,1.09401642055523e-21,1.8521698e-18
"WBGene00016461",8.75e-23,1.38853305785124e-21,2.352175e-18
"WBGene00020840",1.3e-22,2.06174631268437e-21,3.49466e-18
"WBGene00004398",1.37e-22,2.17148231132075e-21,3.682834e-18
"WBGene00012781",1.44e-22,2.28108898055392e-21,3.871008e-18
"WBGene00044272",1.63e-22,2.58054534746761e-21,4.381766e-18
"WBGene00010573",1.64e-22,2.59484873454974e-21,4.408648e-18
"WBGene00009377",1.89e-22,2.98864588235294e-21,5.080698e-18
"WBGene00015857",2.02e-22,3.19233627278072e-21,5.430164e-18
"WBGene00016773",2.35e-22,3.71167450058754e-21,6.31727e-18
"WBGene00007448",2.97e-22,4.68817028772754e-21,7.983954e-18
"WBGene00001730",3.5e-22,5.52153755868545e-21,9.4087e-18
"WBGene00017485",3.75e-22,5.9124633431085e-21,1.008075e-17
"WBGene00019663",4.84e-22,7.62654630715123e-21,1.3010888e-17
"WBGene00007987",4.92e-22,7.7480632688928e-21,1.3225944e-17
"WBGene00008210",6.35e-22,9.99418618266979e-21,1.707007e-17
"WBGene00020350",8.64e-22,1.35904318314804e-20,2.3226048e-17
"WBGene00010525",1.07e-21,1.68209005847953e-20,2.876374e-17
"WBGene00004232",1.37e-21,2.15244535359439e-20,3.682834e-17
"WBGene00006980",1.63e-21,2.55944275700935e-20,4.381766e-17
"WBGene00008963",2.05e-21,3.21705195563339e-20,5.51081e-17
"WBGene00009681",2.17e-21,3.40338039673279e-20,5.833394e-17
"WBGene00014158",2.25e-21,3.52679300291545e-20,6.04845e-17
"WBGene00013352",3.04e-21,4.76231235431235e-20,8.172128e-17
"WBGene00021605",3.06e-21,4.79085148514851e-20,8.225892e-17
"WBGene00044512",4.31e-21,6.74397089639115e-20,1.1586142e-16
"WBGene00008150",4.32e-21,6.75568586387435e-20,1.1613024e-16
"WBGene00017112",4.5e-21,7.03308139534884e-20,1.20969e-16
"WBGene00000655",4.65e-21,7.26329459616502e-20,1.250013e-16
"WBGene00020841",4.76e-21,7.43079674796748e-20,1.2795832e-16
"WBGene00009031",5.02e-21,7.83213232733604e-20,1.3494764e-16
"WBGene00015056",5.84e-21,9.10619953596288e-20,1.5699088e-16
"WBGene00019410",6.47e-21,1.00826979710145e-19,1.7392654e-16
"WBGene00002017",6.57e-21,1.02326037079954e-19,1.7661474e-16
"WBGene00000678",1.02e-20,1.58770353213665e-19,2.741964e-16
"WBGene00010285",1.32e-20,2.05348611111111e-19,3.548424e-16
"WBGene00020084",1.44e-20,2.23887102371313e-19,3.871008e-16
"WBGene00015689",1.56e-20,2.42404161849711e-19,4.193592e-16
"WBGene00000649",1.58e-20,2.45370075101098e-19,4.247356e-16
"WBGene00016752",1.92e-20,2.97999076212471e-19,5.161344e-16
"WBGene00004120",2.25e-20,3.4901615695326e-19,6.04845e-16
"WBGene00022007",2.64e-20,4.09276124567474e-19,7.096848e-16
"WBGene00007541",2.73e-20,4.22984783861671e-19,7.338786e-16
"WBGene00016894",3.06e-20,4.73841705069124e-19,8.225892e-16
"WBGene00018969",3.08e-20,4.76664133563615e-19,8.279656e-16
"WBGene00002015",3.77e-20,5.83113578826237e-19,1.0134514e-15
"WBGene00015348",3.97e-20,6.13694882116159e-19,1.0672154e-15
"WBGene00009321",5.31e-20,8.20364482758621e-19,1.4274342e-15
"WBGene00009624",5.9e-20,9.10992533026996e-19,1.586038e-15
"WBGene00010291",6.02e-20,9.28987600459242e-19,1.6182964e-15
"WBGene00020990",7.24e-20,1.1166131956397e-18,1.9462568e-15
"WBGene00004998",7.62e-20,1.17454610091743e-18,2.0484084e-15
"WBGene00009710",8.52e-20,1.3125194269341e-18,2.2903464e-15
"WBGene00013033",1.02e-19,1.57042611683849e-18,2.741964e-15
"WBGene00009959",1.23e-19,1.89266514024041e-18,3.306486e-15
"WBGene00021969",1.26e-19,1.93771853546911e-18,3.387132e-15
"WBGene00001066",1.3e-19,1.99809033733562e-18,3.49466e-15
"WBGene00014188",1.48e-19,2.27344914285714e-18,3.978536e-15
"WBGene00015573",1.49e-19,2.28750314106225e-18,4.005418e-15
"WBGene00011183",1.5e-19,2.30154109589041e-18,4.0323e-15
"WBGene00000672",1.57e-19,2.40757216200799e-18,4.220474e-15
"WBGene00012357",1.66e-19,2.54413454960091e-18,4.462412e-15
"WBGene00022131",1.82e-19,2.78776296296296e-18,4.892524e-15
"WBGene00004257",2.44e-19,3.73531207289294e-18,6.559208e-15
"WBGene00019236",2.87e-19,4.39108366533865e-18,7.715134e-15
"WBGene00007544",2.95e-19,4.51091581342435e-18,7.93019e-15
"WBGene00015695",3.06e-19,4.67645935190449e-18,8.225892e-15
"WBGene00017691",3.11e-19,4.75017159090909e-18,8.360302e-15
"WBGene00016440",4.31e-19,6.57929699034639e-18,1.1586142e-14
"WBGene00011278",4.44e-19,6.77389784335982e-18,1.1935608e-14
"WBGene00009028",4.64e-19,7.07501304594441e-18,1.2473248e-14
"WBGene00011491",4.86e-19,7.40626530612245e-18,1.3064652e-14
"WBGene00017307",5.22e-19,7.95037053824363e-18,1.4032404e-14
"WBGene00022649",5.48e-19,8.34163986409966e-18,1.4731336e-14
"WBGene00013290",5.95e-19,9.0519468024901e-18,1.599479e-14
"WBGene00015339",6.18e-19,9.39653619909502e-18,1.6613076e-14
"WBGene00015332",6.24e-19,9.4824013566987e-18,1.6774368e-14
"WBGene00009308",6.3e-19,9.56816949152542e-18,1.693566e-14
"WBGene00008605",6.83e-19,1.03672535290796e-17,1.8360406e-14
